Product ID,Brand,Product Name,Nano-hydroxyapatite,Hydroxyapatite,Potassium Nitrate,Arginine,Xylitol,CPC,Chlorhexidine,Baking Soda,Activated Charcoal,Essential Oils,Titanium Dioxide,Artificial Colors,Artificial Sweeteners,Alcohol-Free,Recyclable Packaging,Plastic-Free Packaging,Subscription Available,Basis
CRE008,Crest,Complete Whitening + Scope,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE009,Crest,Baking Soda & Peroxide Whitening,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),Yes (named in product),No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE010,Crest,Kids Sparkle Cavity Protection,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE011,Crest,Kids Sugar & Bacteria Shield,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE012,Crest,Kids Color Changing,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE013,Crest,Charcoal,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,Yes,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE014,Crest,Scope Active Fresh Whitening,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE015,Crest,Pro-Health Advanced,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
ORB001,Oral-B,3D White Luxe,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
ORB002,Oral-B,Pro-Expert Multi-Protection,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
ORB003,Oral-B,Pro-Expert Sensitive,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
ORB004,Oral-B,Gum & Enamel Repair,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
ORB005,Oral-B,Cavity Defense,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
ORB006,Oral-B,3D White Detoxify,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
ORB007,Oral-B,Pro-Expert Whitening,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
ORB008,Oral-B,Kids Toothpaste Disney,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
SEN001,Sensodyne,Repair & Protect,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Yes (confirmed),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)",Not confirmed,No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
SEN002,Sensodyne,Repair & Protect Whitening,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Yes (confirmed),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)",Not confirmed,No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
SEN003,Sensodyne,Pronamel Daily Protection,No / not indicated,No / not indicated,Likely Yes (typical for sodium-fluoride sensitivity lines),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Yes (confirmed),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)",Not confirmed,No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
SEN004,Sensodyne,Pronamel Gentle Whitening,No / not indicated,No / not indicated,Yes (confirmed),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Yes (confirmed),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)",Not confirmed,No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
SEN005,Sensodyne,Pronamel Intensive Enamel Repair,No / not indicated,No / not indicated,Likely Yes (typical for sodium-fluoride sensitivity lines),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Yes (confirmed),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)",Not confirmed,No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
